music_id,name,total_playing_time,listen_start_time,detail,sheet_id,cue_id
18,"Shining Future",02:01,01:00,"Character Song\n\n時間 / 02:01\n歌　 / Nozomi（日笠陽子）\n　　　Chika（福原綾香）\n　　　Tsumugi（木戸衣吹）\n作詞 / 荘野ジュリ\n作曲 / 武田城以\n編曲 / TAKT",bgm_M150,bgm_M150
19,"風への誓い",01:31,00:37,"Character Song\n\n時間 / 01:31\n歌　 / Chika（福原綾香）\n作詞 / 野村イクミ\n作曲 / 内海孝彰\n編曲 / 内海孝彰",bgm_M143,bgm_M143
20,"君の笑顔が見たいから",01:47,00:54,"Character Song\n\n時間 / 01:47\n歌　 / Nozomi（日笠陽子）\n作詞 / Manami\n作曲 / 内海孝彰\n編曲 / 岡野裕次郎",bgm_M144,bgm_M144
21,"アマノジャクハート！",01:34,00:48,"Character Song\n\n時間 / 01:34\n歌　 / Tsumugi（木戸衣吹）\n作詞 / 磯谷佳江\n作曲 / 磯谷佳江\n編曲 / 内海孝彰",bgm_M148,bgm_M148
22,"不穏な空気と立ち向かう闘志",01:46,00:00,"Main Quest Music\n\n時間 / 01:46\n作曲 / 本田晃弘（Cygames）\n編曲 / 岡出莉菜",bgm_M42,bgm_M42_juke
23,"ツインピッグス",01:07,00:00,"Clan Battle Music\n\n時間 / 01:07\n作曲 / 西木康智\n編曲 / 西木康智",bgm_M104,bgm_M104_juke
24,"ヴァンパイアハンターwithイリヤ",00:54,00:00,"Story Event Theme Song\n-｢Peaceful*ちゃんぷるー｣Arrange-\n\n時間 / 00:54\n作曲 / 小野貴光\n編曲 / 東大路憲太",bgm_M106,bgm_M106_juke
25,"ガルグ",03:18,00:00,"Story Event Boss Battle Music\n\n時間 / 03:18\n作曲 / 東大路憲太\n編曲 / 東大路憲太",bgm_M109,bgm_M109_juke
26,"Peaceful*ちゃんぷるー",01:30,00:44,"Character Song\n\n時間 / 01:30\n歌　 / Maho（内田真礼）\n　　　Kaori（高森奈津美）\n作詞 / 磯谷佳江\n作曲 / 小野貴光\n編曲 / 玉木千尋",bgm_M151,bgm_M151
27,"レサトパルト",01:12,00:00,"Clan Battle Music\n\n時間 / 01:12\n作曲 / 東大路憲太\n編曲 / 東大路憲太",bgm_M166,bgm_M166_juke
28,"トワイライトブレイカーズ",01:30,00:00,"Story Event Theme Song\n-｢サイツヨでしょ、でしょ？｣Arrange-\n\n時間 / 01:30\n作曲 / Heart's Cry\n編曲 / 多田彰文",bgm_M162,bgm_M162_juke
29,"オラム",02:02,00:00,"Story Event Boss Battle Music\n\n時間 / 02:02\n作曲 / 東大路憲太\n編曲 / 東大路憲太",bgm_M165,bgm_M165_juke
30,"サイツヨでしょ、でしょ？",01:22,00:42,"Character Song\n\n時間 / 01:22\n歌　 / Anna（髙野麻美）\n　　　Nanaka（佳村はるか）\n作詞 / Heart's Cry\n作曲 / Heart's Cry\n編曲 / Heart's Cry",bgm_M176,bgm_M176
31,"氷海の地",02:05,00:00,"Main Quest Music\n\n時間 / 02:05\n作曲 / 東大路憲太\n編曲 / 東大路憲太",bgm_M141,bgm_M141_juke
32,"氷と雪の世界",01:08,00:00,"Main Quest Music\n\n時間 / 01:08\n作曲 / 西村真吾\n編曲 / 西村真吾",bgm_M58,bgm_M58_juke
33,"爽やかな風",01:05,00:00,"Main Quest Music\n\n時間 / 01:05\n作曲 / 加藤慶\n編曲 / 加藤慶",bgm_M101,bgm_M101_juke
34,"カルキノス",01:02,00:00,"Clan Battle Music\n\n時間 / 01:02\n作曲 / 白井友規（Cygames）\n編曲 / 白井友規（Cygames）",bgm_M115,bgm_M115_juke
35,"デンジャラスバカンス！渚のグルメプリンセス",01:05,00:00,"Story Event Theme Song\n-｢えがおのマイホーム｣Arrange-\n\n時間 / 01:05\n作曲 / Lucas\n編曲 / 西村真吾",bgm_M112,bgm_M112_juke
36,"テンタパス",02:10,00:00,"Story Event Boss Battle Music\n\n時間 / 02:10\n作曲 / 東大路憲太\n編曲 / 東大路憲太",bgm_M116,bgm_M116_juke
37,"えがおのマイホーム",01:40,01:00,"Character Song\n\n時間 / 01:40\n歌　 / Saren（堀江由衣）\n　　　Suzume（悠木碧）\n作詞 / Mitsu\n作曲 / Lucas\n編曲 / Lucas",bgm_M147,bgm_M147
38,"サジタリウス",00:45,00:00,"Clan Battle Music\n\n時間 / 00:45\n作曲 / 庄司真吾（Cygames）\n編曲 / 庄司真吾（Cygames）",bgm_M175,bgm_M175_juke
39,"忘却のキャロル",00:55,00:00,"Story Event Theme Song\n-｢Ding Dong Holy Night♪｣Arrange-\n\n時間 / 00:55\n作曲 / 馬渕直純\n編曲 / 中村早織（Cygames）",bgm_M171,bgm_M171_juke
40,"フォギー",02:57,00:00,"Story Event Boss Battle Music\n\n時間 / 02:57\n作曲 / 東大路憲太\n編曲 / 東大路憲太",bgm_M172,bgm_M172_juke
41,"Ding Dong Holy Night♪",01:28,00:42,"Character Song\n\n時間 / 01:28\n歌　 / Ayane（芹澤優）\n　　　Kurumi（植田佳奈）\n作詞 / 磯谷佳江\n作曲 / 馬渕直純\n編曲 / 馬渕直純",bgm_M187,bgm_M187
42,"険しき乾荒原",00:57,00:00,"Main Quest Music\n\n時間 / 00:57\n作曲 / 加藤慶\n編曲 / 加藤慶",bgm_M93,bgm_M93_juke
43,"オルレオン",01:06,00:00,"Clan Battle Music\n\n時間 / 01:06\n作曲 / 庄司真吾（Cygames）\n編曲 / 西村真吾",bgm_M119,bgm_M119_juke
44,"タマキとミフユの無人島0ルピ生活",01:10,00:00,"Story Event Theme Song\n-｢キンキラ☆ハピネス！｣Arrange-\n\n時間 / 01:10\n作曲 / 斉藤裕也\n編曲 / 西村真吾",bgm_M121,bgm_M121_juke
45,"島クジラ",02:35,00:00,"Story Event Boss Battle Music\n\n時間 / 02:35\n作曲 / 東大路憲太\n編曲 / 東大路憲太",bgm_M124,bgm_M124_juke
46,"キンキラ☆ハピネス！",01:20,00:42,"Character Song\n\n時間 / 01:20\n歌　 / Tamaki（沼倉愛美）\n　　　Mifuyu（田所あずさ）\n　　　Akino（松嵜麗）\n　　　Yukari（今井麻美）\n作詞 / joru\n作曲 / 斉藤裕也\n編曲 / 斉藤裕也",bgm_M146,bgm_M146
47,"新たな船出",01:20,00:00,"Main Quest Music\n\n時間 / 01:20\n作曲 / 東大路憲太\n編曲 / 東大路憲太",bgm_M179,bgm_M179_juke
48,"アルゲティ",00:58,00:00,"Clan Battle Music\n\n時間 / 00:58\n作曲 / 加藤慶\n編曲 / 加藤慶",bgm_M181,bgm_M181_juke
49,"新春トゥインクルクライシス！",00;58,00:00,"Story Event Theme Song\n-｢TwinkleStars｣Arrange-\n\n時間 / 00:58\n作曲 / 石濱翔（MONACA）\n編曲 / 東大路憲太",bgm_M182,bgm_M182_juke
50,"邪餅神ガミィ",02:32,00:00,"Story Event Boss Battle Music\n\n時間 / 02:32\n作曲 / 東大路憲太\n編曲 / 東大路憲太",bgm_M183,bgm_M183_juke
51,TwinkleStars,01:24,00:45,"Character Song\n\n時間 / 01:24\n歌　 / Yui（種田梨沙）\n　　　Hiyori（東山奈央）\n　　　Rei（早見沙織）\n作詞 / 野村イクミ（Cygames）\n作曲 / 石濱翔（MONACA）\n編曲 / 石濱翔（MONACA）",bgm_M202,bgm_M202
52,"酷熱の砂漠",01:26,00:00,"Main Quest Music\n\n時間 / 01:26\n作曲 / 東大路憲太\n編曲 / 東大路憲太",bgm_M94,bgm_M94_juke
53,"メデューサ",01:25,00:00,"Clan Battle Music\n\n時間 / 01:25\n作曲 / 東大路憲太\n編曲 / 東大路憲太",bgm_M132,bgm_M132_juke
54,"黒鉄の亡霊（ナイトメア）",01:29,00:00,"Story Event Theme Song\n-｢Aloofness Code｣Arrange-\n\n時間 / 01:29\n作曲 / 小野貴光\n編曲 / 多田彰文",bgm_M128,bgm_M128_juke
55,"リビングメイル",02:28,00:00,"Story Event Boss Battle Music\n\n時間 / 02:28\n作曲 / 東大路憲太\n編曲 / 東大路憲太",bgm_M131,bgm_M131_juke
56,"Aloofness Code",01:20,00:46,"Character Song\n\n時間 / 01:20\n歌　 / Jun（川澄綾子）\n　　　Christina（たかはし智秋）\n　　　Tomo（茅原実里）\n　　　Matsuri（下田麻美）\n作詞 / a*mu\n作曲 / 小野貴光\n編曲 / 玉木千尋",bgm_M154,bgm_M154
57,"Absolute Secret",01:13,00:44,"Character Song\n\n時間 / 01:13\n歌　 / Kyaru（立花理香）\n作詞 / corochi（Cygames）\n作曲 / 馬渕直純\n編曲 / 馬渕直純",bgm_M214,bgm_M214
58,"アクアリオス",01:00,00:00,"Clan Battle Music\n\n時間 / 01:00\n作曲 / 加藤慶\n編曲 / 加藤慶",bgm_M186,bgm_M186_juke
59,"バトルオブバレンタイン！想いぶつかるスウィートバトル",01:02,00:00,"Story Event Theme Song\n-｢SUPER CHOCOLATE｣Arrange-\n\n時間 / 01:02\n作曲 / 山崎真吾\n編曲 / 藤原宏恵",bgm_M189,bgm_M189_juke
60,"アグリーラブリー",02:24,00:00,"Story Event Boss Battle Music\n\n時間 / 02:24\n作曲 / 東大路憲太\n編曲 / 東大路憲太",bgm_M192,bgm_M192_juke
61,"SUPER CHOCOLATE",01:15,00:40,"Character Song\n\n時間 / 01:15\n歌　 / Shizuru（生天目仁美）\n　　　Rino（阿澄佳奈）\n作詞 / 坂井竜二\n作曲 / 山崎真吾\n編曲 / 山崎真吾",bgm_M200,bgm_M200
62,"砂海の中のオアシス",01:07,00:00,"Main Quest Music\n\n時間 / 01:07\n作曲 / 石塚玲衣\n編曲 / 石塚玲衣",bgm_M118,bgm_M118_juke
63,"不思議な森",01:20,00:00,"Main Quest Music\n\n時間 / 01:20\n作曲 / 東大路憲太\n編曲 / 東大路憲太",bgm_M180,bgm_M180_juke
64,"トルペドン",01:00,00:00,"Clan Battle Music\n\n時間 / 01:00\n作曲 / 中村早織（Cygames）\n編曲 / 中村早織（Cygames）",bgm_M205,bgm_M205_juke
65,"王都の名探偵　嘆きの追跡者（ストーカー）",00:39,00:00,"Story Event Theme Song\n-｢未解決な想い｣Arrange-\n\n時間 / 00:39\n作曲 / 出口遼\n編曲 / 庄司真吾（Cygames）",bgm_M206,bgm_M206_juke
66,"嘆きの女神",02:09,00:00,"Story Event Boss Battle Music\n\n時間 / 02:09\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）",bgm_M209,bgm_M209_juke
67,"未解決な想い",01:22,00:38,"Character Song\n\n時間 / 01:22\n歌　 / Makoto（小松未可子）\n　　　Kasumi（水瀬いのり）\n作詞 / 出口遼\n作曲 / 出口遼\n編曲 / 飯田涼太",bgm_M222,bgm_M222
