tbl,idx,stat
unique_equipment_rankup,sqlite_autoindex_unique_equipment_rankup_1,"180 5 1"
hatsune_schedule,,12
room_character_personality,,80
unit_promotion,unit_promotion_0_unit_id,"1232 12"
unit_promotion,sqlite_autoindex_unit_promotion_1,"1232 12 1"
item_data,,123
reward_collect_guide,,426
arena_max_rank_reward,,79
seasonpassnormal_mission_data,,151
hatsune_bg_change,,2
guild,,15
mission_reward_data,mission_reward_data_0_mission_reward_id,"234 3"
album_voice_list,album_voice_list_0_unit_id,"3182 37"
season_pack,season_pack_0_mission_id,"3 2"
unit_introduction,unit_introduction_0_gacha_id,"27 1"
quest_reward_data,,754
quest_data,,363
