tbl,idx,stat
campaign_mission_data,campaign_mission_data_0_campaign_id,"16 16"
hatsune_relay_data,,48
album_voice_list,album_voice_list_0_unit_id,"3182 37"
season_pack,season_pack_0_mission_id,"11 3"
tower_area_data,,18
event_boss_treasure_content,,546
hatsune_quiz_condition,hatsune_quiz_condition_0_event_id_1_quiz_id,"6 6 2"
hatsune_mission_reward_data,hatsune_mission_reward_data_0_mission_reward_id,"2046 2"
sd_navi_comment,,7
experience_team,,155
arena_daily_rank_reward,,40
room_change,,1
story_character_mask,,352
tips,,72
arcade_list,,4
kaiser_schedule,,1
tower_quest_data,tower_quest_data_0_floor_num,"390 1"
minigame,minigame_0_event_id,"4 1"
clan_battle_period_lap_reward,,186
clan_battle_2_boss_data,,120
room_skin_color,,3
resist_data,,32
hatsune_special_enemy,,39
hatsune_map,,14
room_item_announcement,,2
enemy_m_parts,,28
chara_fortune_reward,,20
experience_unit,,155
vote_data,,1
event_story_data,event_story_data_0_value,"23 1"
campaign_mission_schedule,,1
equipment_craft,,236
hatsune_stationary_mission_data,,1043
unlock_rarity_6,unlock_rarity_6_0_material_id,"56 4"
unlock_rarity_6,unlock_rarity_6_0_unit_id_1_unlock_level,"56 7 2"
unlock_rarity_6,unlock_rarity_6_0_unit_id_1_slot_id,"56 7 3"
unlock_rarity_6,sqlite_autoindex_unlock_rarity_6_1,"56 7 3 1"
unique_equipment_craft,,74
clan_battle_odds_data,clan_battle_odds_data_0_odds_group_id,"22 5"
clan_battle_odds_data,sqlite_autoindex_clan_battle_odds_data_1,"22 5 1 1"
unit_data,,147
ailment_data,,29
kmk_reward,,15
pct_tap_speed,,8
skip_monster_data,,1264
quest_condition_data,,561
enemy_enable_voice,,45
clanprofile_content,,29
enemy_reward_data,,2042
room_item,,423
skill_cost,,157
notif_data,notif_data_0_unit_id,"636 6"
notif_data,sqlite_autoindex_notif_data_1,"636 6 1"
arcade_story_list,,8
unlock_skill_data,,4
myprofile_content,,19
kaiser_quest_data,,5
vote_info,sqlite_autoindex_vote_info_1,"3 3 1"
tower_schedule,tower_schedule_0_opening_story_id,"18 1"
event_enemy_reward_group,,137
hatsune_diary_letter_script,hatsune_diary_letter_script_0_diary_id,"151 51"
hatsune_description,hatsune_description_0_event_id_1_type,"179 6 3"
campaign_freegacha,,8
arena_max_season_rank_reward,,118
unit_promotion_status,sqlite_autoindex_unit_promotion_status_1,"1740 15 1"
unit_comments,unit_comments_0_unit_id_1_use_type,"1336 6 4"
unit_comments,unit_comments_0_unit_id,"1336 6"
dear_story_data,dear_story_data_0_value,"7 1"
quest_area_data,,71
unique_equipment_data,,74
music_list,,114
event_top_adv,event_top_adv_0_event_id_1_type,"289 11 3"
hatsune_bg_change_data,hatsune_bg_change_data_0_target_type_1_area_id,"10 5 2"
gacha_exchange_lineup,,104
campaign_schedule,,381
unit_rarity,unit_rarity_0_unit_material_id,"648 6"
unit_rarity,unit_rarity_0_unit_id,"648 6"
unit_rarity,sqlite_autoindex_unit_rarity_1,"648 6 1"
enemy_parameter,,5180
tower_enemy_parameter,,2073
content_release_data,,29
sekai_boss_damage_rank_reward,,12
grand_arena_max_rank_reward,,79
combined_result_motion,,1
unit_profile,,114
specialfes_banner,,4
tower_wave_group_data,,423
login_bonus_data,,18
unit_attack_pattern,,852
chara_story_status,,592
visual_customize,,3
music_content,,117
tower_ex_quest_data,tower_ex_quest_data_0_floor_num,"18 1"
event_enemy_parameter,,3764
room_emotion_icon,,18
hatsune_emblem_mission,,45
sekai_top_story_data,,4
clan_grade,,10
bg_data,sqlite_autoindex_bg_data_1,"118 1"
skill_data,,1571
love_chara,,12
hatsune_boss,hatsune_boss_0_event_id_1_difficulty,"119 4 1"
clan_battle_boss_damage_rank,clan_battle_boss_damage_rank_0_damage_rank_id,"160 4"
clan_battle_boss_damage_rank,sqlite_autoindex_clan_battle_boss_damage_rank_1,"160 4 1 1"
wave_group_data,,2387
campaign_mission_category,campaign_mission_category_0_campaign_id_1_type,"2 2 1"
equipment_enhance_rate,,273
kaiser_restriction_group,kaiser_restriction_group_0_restriction_group_id,"102 21"
kaiser_restriction_group,sqlite_autoindex_kaiser_restriction_group_1,"102 21 1"
srt_top_talk,srt_top_talk_0_talk_id,"45 2"
srt_panel,srt_panel_0_panel_id,"438 4"
skip_boss_data,,68
global_data,sqlite_autoindex_global_data_1,"2 1"
hatsune_quiz_reward,,4
tower_story_data,,10
equipment_enhance_data,sqlite_autoindex_equipment_enhance_data_1,"14 4 1"
pct_result,pct_result_0_character_id,"4 2"
shop_static_price_group,,6
event_bg_data,,1
profile_frame,,11
seasonpass_level_reward,,100
grand_arena_defence_reward,,1
chara_fortune_schedule,,5
unit_mypage_pos,,36
unlock_unit_condition,,107
daily_mission_data,,374
equipment_donation,,9
equipment_data,,509
hatsune_map_event,hatsune_map_event_0_target_event_id,"91 11"
movie,,184
chara_identity,,110
character_love_rankup_text,,42
srt_action,sqlite_autoindex_srt_action_1,"41 1"
arena_defence_reward,,1
banner,,90
stationary_mission_data,,828
dear_chara,dear_chara_0_event_id,"18 3"
dear_chara,sqlite_autoindex_dear_chara_1,"18 3 1"
unit_enemy_data,,599
unique_equipment_enhance_data,sqlite_autoindex_unique_equipment_enhance_data_1,"159 159 1"
kmk_navi_comment,,11
unique_equipment_enhance_rate,,74
hatsune_item,,34
unit_motion_list,,108
unique_equipment_rankup,unique_equipment_rankup_0_equip_id,"592 8"
unique_equipment_rankup,sqlite_autoindex_unique_equipment_rankup_1,"592 8 1"
hatsune_emblem_mission_reward,hatsune_emblem_mission_reward_0_reward_id,"86 2"
hatsune_emblem_mission_reward,hatsune_emblem_mission_reward_0_mission_reward_id,"86 2"
hatsune_schedule,hatsune_schedule_0_series_event_id,"34 34"
room_character_personality,,109
unit_promotion,unit_promotion_0_unit_id,"2116 16"
unit_promotion,sqlite_autoindex_unit_promotion_1,"2116 16 1"
item_data,,217
clan_battle_s_boss_fix_reward,,126
reward_collect_guide,,426
kaiser_add_times_data,,192
pct_reward,pct_reward_0_pct_point_type,"1 1"
sekai_boss_fix_reward,,5
clan_battle_boss_fix_reward,,40
room_setup,,350
event_navi_comment,,21
cooperation_quest_data,,6
chara_e_ticket_data,chara_e_ticket_data_0_jewel_store_id,"1 1"
tower_cloister_quest_data,,5
hatsune_bg_change,,2
guild,,17
mission_reward_data,mission_reward_data_0_mission_reward_id,"346 2"
