action_id,class_id,action_type,action_detail_1,action_detail_2,action_detail_3,action_value_1,action_value_2,action_value_3,action_value_4,action_value_5,action_value_6,action_value_7,target_assignment,target_area,target_range,target_type,target_number,target_count,description,level_up_disp
100300101,1,1,1,0,0,60.0,60.0,4.8,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"对敌方单体造成{0}的物理伤害","物理伤害+{0}"
100300201,1,1,1,0,0,20.0,20.0,1.6,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"对敌方单体造成{0}的物理伤害","物理伤害+{0}"
100300301,1,18,1,100300302,0,0.5,0.0,1.8,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"",""
100300302,1,1,1,0,0,20.0,20.0,1.6,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"对敌方单体造成{0}的物理伤害","物理伤害+{0}"
100301201,1,1,1,0,0,20.0,20.0,1.6,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"对敌方单体造成{0}的物理伤害","物理伤害+{0}"
100301202,1,10,21,1,0,1.0,0.6,0.6,12.0,0.0,0.0,1.0,2,3,2160,3,0,99,"使敌方单体的物理防御力下降{0}","物理防御力下降+{0}"
100350101,1,90,2,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的物理攻击力提升{0}","物理攻击力上升+{0}"
100351101,1,90,2,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的物理攻击力提升{0}","物理攻击力上升+{0}"
100351102,1,90,1,0,0,1.0,1125.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"使自身的最大生命值提升{0}",""
100400101,1,7,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2160,3,1,1,"",""
100400102,1,1,1,0,0,20.4,20.4,1.62,0.0,0.0,0.0,0.0,1,2,300,1,0,99,"对范围内的敌人造成{0}的物理伤害","物理伤害+{0}"
100400201,1,1,1,0,0,8.0,8.0,0.6,0.0,0.0,0.0,0.0,1,1,2160,3,1,1,"对敌方单体造成{0}的物理伤害","物理伤害+{0}"
100400202,1,12,70,0,0,8.0,0.0,100.0,0.0,0.0,0.0,0.0,1,1,2160,3,1,1,"赋予黑暗状态","赋予黑暗的成功率等级+1"
100400301,1,1,1,0,0,10.0,10.0,0.8,0.0,0.0,0.0,0.0,1,2,2160,14,0,1,"对敌方单体造成{0}的物理伤害","物理伤害+{0}"
100400302,1,10,11,1,0,1.0,3.75,3.75,99.0,0.0,0.0,1.0,1,2,2160,1,0,1,"使敌方单体的物理攻击力下降{0}","物理攻击力下降+{0}"
100400303,1,10,10,1,0,1.0,5.5,5.5,99.0,0.0,0.0,1.0,2,1,0,7,0,1,"自身的物理攻击力提升{0}","物理攻击力提升+{0}"
100450101,1,90,3,0,0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的物理防御力提升{0}","物理防御力上升+{0}"
100451101,1,90,3,0,0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的物理防御力提升{0}","物理防御力上升+{0}"
100451102,1,90,2,0,0,1.0,225.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的物理攻击力提升{0}",""
100500101,1,2,3,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2160,3,2,1,"",""
100500102,1,7,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2160,3,2,1,"",""
100500103,1,1,1,0,0,30.0,30.0,2.4,0.0,0.0,0.0,0.0,1,2,300,3,0,99,"对范围内的敌人造成{0}的物理伤害","物理伤害+{0}"
100500201,1,1,1,0,0,3.4,3.4,0.27,0.0,0.0,0.0,0.0,1,2,300,3,0,99,"对范围内的敌人造成{0}的物理伤害","物理伤害+{0}"
100500202,1,8,7,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,2,300,3,0,99,"使范围内的敌人在一段时间内无法行动","眩晕的成功率等级+1"
100500301,1,1,1,0,0,10.0,10.0,0.8,0.0,0.0,0.0,0.0,1,2,300,3,0,99,"对范围内的敌人造成{0}的物理伤害","物理伤害+{0}"
100501201,1,1,1,0,0,3.4,3.4,0.54,0.0,0.0,0.0,0.0,1,2,300,3,0,99,"对范围内的敌人造成{0}的物理伤害","物理伤害+{0}"
100501202,1,8,7,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,2,300,3,0,99,"使范围内的敌人在一段时间内无法行动","眩晕的成功率等级+1"
100501203,1,10,20,1,0,1.0,2.24,2.24,12.0,0.0,0.0,0.0,2,1,0,7,0,1,"自身的物理防御力提升{0}","物理防御力提升+{0}"
100501204,1,10,40,1,0,1.0,2.24,2.24,12.0,0.0,0.0,0.0,2,1,0,7,0,1,"自身的魔法防御力提升{0}","魔法防御力提升+{0}"
100550101,1,90,2,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"提高自己的物理攻击力{0}","物理攻击力提高+{0}"
100551101,1,90,2,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"提高自己的物理攻击力{0}","物理攻击力提升+{0}"
100551102,1,90,3,0,0,1.0,30.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的物理防御力提升{0}",""
100600101,1,32,0,0,0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,2,3,2160,3,0,99,"",""
100600102,1,10,30,1,0,1.0,4.5,4.5,18.0,0.0,0.0,0.0,2,3,2160,3,0,99,"己方全体的魔法攻击力提升{0}","魔法攻击力提升+{0}"
100600201,1,1,2,0,0,20.0,20.0,1.6,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"对敌方单体造成{0}的魔法伤害","魔法伤害+{0}"
100600301,1,10,41,1,0,1.0,1.0,1.0,12.0,0.0,0.0,1.0,1,1,-1,3,0,1,"使敌方单体的魔法防御力下降{0}","魔法防御力下降+{0}"
100601201,1,1,2,0,0,25.0,25.0,2.0,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"对敌方单体造成{0}的魔法伤害","魔法伤害+{0}"
100601202,1,10,41,1,0,1.0,0.2,0.2,12.0,0.0,0.0,1.0,1,1,-1,3,0,1,"使敌方单体的魔法防御力下降{0}","魔法防御力下降+{0}"
100610101,1,1,2,0,0,25.0,25.0,2.0,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"对敌方单体造成{0}的魔法伤害","魔法伤害+{0}"
100610201,1,1,2,0,0,15.0,15.0,1.25,0.0,0.0,0.0,0.0,1,1,550,3,0,99,"对敌方单体造成{0}的魔法伤害","魔法伤害+{0}"
100650101,1,90,4,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的魔法攻击力提升{0}","魔法攻击力上升+{0}"
100651101,1,90,4,0,0,1.0,240.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的魔法攻击力提升{0}","魔法攻击力上升+{0}"
100700101,1,1,1,0,0,45.0,45.0,3.6,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"对敌方单体造成{0}的物理伤害","物理伤害+{0}"
100700102,1,4,1,0,0,1.0,12.0,12.0,1.0,0.0,0.0,0.0,2,3,0,7,0,1,"自身的生命值回复{0}","生命值回复量+{0}"
100700201,1,21,1,0,0,3.0,0.01,0.0,0.0,0.0,0.0,0.0,2,1,0,7,0,1,"一定时间内赋予无敌状态","无敌时间+0.01秒"
100700202,1,18,1,100700203,0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0,0,0,7,0,1,"",""
100700203,1,21,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,7,0,1,"",""
100700301,1,4,1,0,0,1.0,7.5,7.5,1.0,0.0,0.0,0.0,2,1,0,7,0,1,"自身的生命值回复{0}","生命值回复量+{0}"
100750101,1,90,3,0,0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的物理防御力提升{0}","物理防御力上升+{0}"
100751101,1,90,3,0,0,1.0,32.0,2.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的物理防御力提升{0}","物理防御力上升+{0}"
100800101,1,1,2,0,0,4.5,4.5,0.405,0.0,0.0,0.0,0.0,1,1,2160,3,0,99,"对敌方全体造成{0}的魔法伤害","魔法伤害+{0}"
100800102,1,10,21,1,0,1.0,0.345,0.345,18.0,0.0,0.0,1.0,1,1,2160,3,0,99,"敌方全体的物理防御力{0}下降","物理防御力下降+{0}"
100800201,1,1,2,0,0,15.0,15.0,1.2,0.0,0.0,0.0,0.0,1,1,2160,3,1,1,"对敌方单体造成{0}的魔法伤害","魔法伤害+{0}"
100800202,1,12,40,0,0,8.0,0.0,100.0,0.0,0.0,0.0,0.0,1,1,2160,1,0,1,"赋予黑暗状态","黑暗的成功率等级+1"
100800301,1,16,1,0,0,75.0,2.5,0.0,0.0,0.0,0.0,0.0,2,1,2160,12,0,1,"己方单体技能值回复{0}","技能值回复量+{0}"
100850101,1,90,4,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的魔法攻击力提升{0}","魔法攻击力上升+{0}"
100851101,1,90,4,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的魔法攻击力提升{0}","魔法攻击力上升+{0}"
100851102,1,90,3,0,0,1.0,30.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的物理防御力提升{0}",""
100900101,1,1,2,0,0,18.0,18.0,1.44,0.0,0.0,0.0,0.0,1,3,2160,3,0,99,"对敌方全体造成{0}的魔法伤害","魔法伤害+{0}"
100900102,1,10,21,1,0,2.0,100.0,0.0,99.0,0.0,0.0,2.0,2,1,0,7,0,1,"令自身的物理防御力降为0",""
100900103,1,10,41,1,0,2.0,100.0,0.0,99.0,0.0,0.0,2.0,2,1,0,7,0,1,"令自身的魔法防御力降为0",""
100900201,1,1,2,0,0,20.0,20.0,1.2,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"对敌方单体造成{0}的魔法伤害","魔法伤害+{0}"
100900301,1,17,3,0,0,100.0,0.0,10.0,0.0,1.0,0.0,0.0,2,3,0,7,0,1,"",""
100900302,1,1,2,0,0,25.0,25.0,2.0,0.0,0.0,0.0,0.0,1,2,600,3,0,99,"对范围内的敌人造成{0}的魔法伤害","魔法伤害+{0}"
100900303,1,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0,7,0,1,"",""
100900304,1,21,1,0,0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0,7,0,1,"",""
100901201,1,1,2,0,0,20.0,20.0,1.6,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"对敌方单体造成{0}的魔法伤害","魔法伤害+{0}"
100901202,1,10,41,1,0,1.0,0.6,0.6,12.0,0.0,0.0,1.0,2,3,2160,3,0,99,"使敌方单体的魔法防御力下降{0}","魔法防御力下降+{0}"
100950101,1,90,4,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,"自身的魔法攻击力提升{0}","魔法攻击力上升+{0}"
100951101,1,90,4,0,0,1.0,240.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的魔法攻击力提升{0}","魔法攻击力上升+{0}"
101000101,1,10,30,1,0,1.0,3.45,3.45,18.0,0.0,0.0,0.0,2,3,2160,3,0,99,"己方全体的魔法攻击力提升{0}","魔法攻击力提升+{0}"
101000102,1,10,20,1,0,1.0,0.45,0.45,18.0,0.0,0.0,0.0,2,3,2160,3,0,99,"己方全体的物理防御力提升{0}","物理防御力提升+{0}"
101000103,1,16,1,1,0,50.0,0.0,0.0,18.0,0.0,0.0,0.0,2,3,2160,3,0,99,"己方全体的技能值回复{0}",""
101000201,1,4,2,0,0,1.0,7.5,7.5,1.0,0.0,0.0,0.0,2,2,2160,5,0,1,"己方单体的生命值回复{0}","生命值回复量+{0}"
101000301,1,12,40,0,0,8.0,0.0,100.0,0.0,0.0,0.0,0.0,1,1,2160,3,1,1,"赋予黑暗状态","黑暗的成功率等级+1"
101050101,1,90,3,0,0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的物理防御力提升{0}","物理防御力上升+{0}"
101051101,1,90,3,0,0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的物理防御力提升{0}","物理防御力上升+{0}"
101051102,1,90,4,0,0,1.0,225.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的魔法攻击力提升{0}",""
101100101,1,1,1,0,0,20.4,20.4,1.62,0.0,0.0,0.0,1.0,1,1,1150,3,0,99,"对范围内的敌人造成{0}的物理伤害","物理伤害+{0}"
101100201,1,10,60,1,0,1.0,45.0,0.0,99.0,0.0,0.0,1.0,2,1,0,7,0,1,"自身的物理暴击率提升{0}",""
101100202,1,10,10,1,0,1.0,15.0,15.0,12.0,0.0,0.0,1.0,2,1,0,7,0,1,"自身的物理攻击力提升{0}","物理攻击力+{0}"
101100301,1,1,1,0,0,20.0,20.0,1.6,0.0,0.0,0.0,1.0,1,1,-1,3,0,1,"对敌方单体造成{0}的物理伤害","物理伤害+{0}"
101101201,1,10,60,1,0,1.0,75.0,0.0,99.0,0.0,0.0,1.0,2,1,0,7,0,1,"自身的物理暴击率提升{0}",""
101101202,1,10,10,1,0,1.0,20.0,20.0,12.0,0.0,0.0,1.0,2,1,0,7,0,1,"自身的物理攻击力提升{0}","物理攻击力+{0}"
101101203,1,8,2,0,0,1.8,0.0,12.0,0.0,0.0,0.0,0.0,2,1,0,7,0,1,"自身的行动速度提升",""
101150101,1,90,2,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的物理攻击力提升{0}","物理攻击力上升+{0}"
101151101,1,90,2,0,0,1.0,240.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的物理攻击力提升{0}","物理攻击力上升+{0}"
101200101,1,1,2,0,0,6.75,6.75,0.54,0.0,0.0,0.0,0.0,1,1,2160,20,0,99,"对使用物理攻击的敌人追加{0}的魔法伤害","追加魔法伤害+{0}"
101200102,1,1,2,0,0,9.0,9.0,0.81,0.0,0.0,0.0,0.0,1,1,2160,3,0,99,"对敌方全体造成{0}的魔法伤害","全体魔法伤害+{0}"
101200201,1,1,2,0,0,20.0,20.0,1.6,0.0,0.0,0.0,0.0,1,1,2160,14,0,1,"对敌方单体造成{0}的魔法伤害","魔法伤害+{0}"
101200301,1,1,2,0,0,10.0,10.0,0.8,0.0,0.0,0.0,0.0,1,1,2160,14,0,1,"对敌方单体造成{0}的魔法伤害","魔法伤害+{0}"
101200302,1,8,7,0,0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1,1,2160,14,0,1,"使敌方单体在一段时间内无法行动","眩晕的成功率等级+1"
101201201,1,1,2,0,0,22.0,22.0,1.8,0.0,0.0,0.0,0.0,1,1,2160,14,0,1,"对敌方单体造成{0}的魔法伤害","魔法伤害+{0}"
101201202,1,10,41,1,0,1.0,0.2,0.2,12.0,0.0,0.0,1.0,1,1,2160,14,0,1,"使敌方单体的魔法防御力下降{0}","魔法防御力下降+{0}"
101250101,1,90,4,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的魔法攻击力提升{0}","魔法攻击力上升+{0}"
101251101,1,90,4,0,0,1.0,240.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的魔法攻击力提升{0}","魔法攻击力上升+{0}"
101300101,1,1,2,0,0,60.0,60.0,5.6,0.0,0.0,0.0,0.0,1,2,2160,6,0,1,"对敌方单体造成{0}的魔法伤害","魔法伤害+{0}"
101300201,1,7,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2160,3,0,1,"",""
101300202,1,10,41,0,0,1.0,0.48,0.48,12.0,0.0,0.0,0.0,1,2,200,3,0,99,"使范围内敌人的魔法防御力下降{0}","魔法防御力下降+{0}"
101300301,1,1,2,0,0,20.0,20.0,1.6,0.0,0.0,0.0,0.0,1,2,2160,6,0,1,"对敌方单体造成{0}的魔法伤害","魔法伤害+{0}"
101300302,1,8,7,0,0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1,2,2160,6,0,1,"使敌方单体在一段时间内无法行动","眩晕的成功率等级+1"
101350101,1,90,4,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的魔法攻击力提升{0}","魔法攻击力提升+{0}"
101351101,1,90,4,0,0,1.0,240.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的魔法攻击力提升{0}","魔法攻击力提升+{0}"
101400101,1,7,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2160,3,2,1,"",""
101400102,1,38,41,1,3,2.4,2.4,16.0,0.0,300.0,0.0,0.0,1,2,2160,3,2,1,"使领域内敌人的魔法防御力下降{0}","魔法防御力下降+{0}"
101400103,1,38,81,1,0,10.0,0.0,16.0,0.0,300.0,0.0,0.0,1,2,2160,3,2,1,"使领域内敌人的技能值上升量下降{0}",""
101400104,1,7,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2160,3,2,1,"",""
101400105,1,8,1,0,0,0.9,0.0,16.0,0.0,0.0,0.0,0.0,1,2,300,1,0,99,"在一段时间内降低范围内敌人的行动速度","降低行动速度的成功率等级+1"
101400201,1,1,2,0,0,3.4,3.4,0.27,0.0,0.0,0.0,0.0,1,1,800,3,0,99,"对范围内的敌人造成{0}的魔法伤害","魔法伤害+{0}"
101400202,1,8,5,0,0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,1,1,800,3,0,99,"使范围内的敌人在一段时间内无法行动","束缚的成功率等级+1"
101400301,1,1,2,0,0,8.0,8.0,0.6,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"对敌方单体造成{0}的魔法伤害","魔法伤害+{0}"
101400302,1,11,1,0,0,7.5,0.0,1.0,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"使敌方单体混乱","混乱的成功率等级+1"
101450101,1,90,5,0,0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的魔法防御力提升{0}","魔法防御力+{0}"
101451101,1,90,5,0,0,1.0,32.0,2.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的魔法防御力提升{0}","魔法防御力+{0}"
101500101,1,4,2,0,0,1.0,4.5,4.5,0.3375,0.0,0.0,0.0,2,3,2160,3,0,99,"回复所有同伴的HP{0}","HP回复量+{0}"
101500102,1,10,40,1,0,1.0,0.45,0.45,18.0,0.0,0.0,0.0,2,3,2160,3,0,99,"提高全体同伴的魔法防御力{0}","魔法防御力提高+{0}"
101500201,1,10,30,0,0,1.0,5.5,5.5,12.0,0.0,0.0,0.0,2,2,300,3,0,99,"提升范围内己方角色的魔法攻击力{0}","魔法攻击力提升+{0}"
101500301,1,48,2,1,0,1.0,1.0,0.12,0.0,7.0,0.0,0.0,2,2,2160,10,0,1,"每秒回复HP{0}","回复量+{0}"
101501201,1,10,30,0,0,1.0,18.0,18.0,12.0,0.0,0.0,0.0,2,2,300,3,0,99,"提升范围内己方角色的魔法攻击力{0}","魔法攻击力提升+{0}"
101501202,1,10,70,1,0,1.0,40.0,0.0,12.0,0.0,0.0,1.0,2,2,300,3,0,99,"提升范围内己方角色的魔法暴击率{0}","魔法暴击率提升+{0}"
101550101,1,90,4,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"提高自己的魔法攻击力{0}","魔法攻击力提升+{0}"
101551101,1,90,4,0,0,1.0,240.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"提高自己的魔法攻击力{0}","魔法攻击力提升+{0}"
101600101,1,1,1,0,0,45.0,45.0,4.0,0.0,1.0,0.0,1.0,1,1,-1,3,0,1,"对敌方单体造成{0}的物理伤害","物理伤害+{0}"
101600201,1,1,1,0,0,12.0,12.0,0.9,0.0,1.0,0.0,1.0,1,1,-1,3,0,1,"对敌方单体造成{0}的物理伤害","物理伤害+{0}"
101600301,1,10,10,1,0,1.0,15.0,15.0,12.0,0.0,0.0,1.0,2,3,0,7,0,1,"自身的物理攻击力提升{0}","物理攻击力+{0}"
101650101,1,90,2,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的物理攻击力提升{0}","物理攻击力上升+{0}"
101651101,1,90,2,0,0,1.0,240.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的物理攻击力提升{0}","物理攻击力上升+{0}"
101700101,1,1,1,0,0,60.0,60.0,4.8,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"对敌方单体造成{0}的物理伤害","物理伤害+{0}"
101700201,1,1,1,0,0,20.0,20.0,1.6,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"对敌方单体造成{0}的物理伤害","物理伤害+{0}"
101700301,1,34,1,0,0,1.0,10.0,10.0,5.0,0.0,0.0,0.0,1,3,2160,3,0,99,"每次攻击时伤害增加{0}","追加伤害+{0}"
101701201,1,1,1,0,0,30.0,30.0,2.3,0.0,0.0,0.0,0.0,1,1,-1,3,0,1,"对敌方单体造成{0}的物理伤害","物理伤害+{0}"
101750101,1,90,2,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的物理攻击力提升{0}","物理攻击力上升+{0}"
101751101,1,90,2,0,0,1.0,240.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的物理攻击力提升{0}","物理攻击力上升+{0}"
101800101,1,1,2,0,0,4.5,4.5,0.405,0.0,0.0,0.0,0.0,1,3,2160,3,0,99,"对敌方全体造成{0}的魔法伤害","全体魔法伤害+{0}"
101800102,1,11,0,0,0,4.0,0.0,100.0,0.0,0.0,0.0,0.0,1,3,2160,3,0,99,"魅惑敌方全体","魅惑的成功率等级+1"
101800201,1,7,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,4000,3,1,1,"",""
101800202,1,1,2,0,0,9.0,9.0,0.72,0.0,0.0,0.0,0.0,1,2,100,1,0,99,"对范围内的敌人造成{0}的魔法伤害","魔法伤害+{0}"
101800301,1,16,2,0,0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,1,3,-1,2,0,1,"削减敌方单体的技能值{0}","技能值伤害+{0}"
101800302,1,16,1,0,0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1,0,7,0,1,"自身的技能值回复{0}","技能值回复量+{0}"
101801201,1,7,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,4000,3,1,1,"",""
101801202,1,23,300,101801203,101801205,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2,100,3,0,99,"",""
101801203,1,1,2,0,0,9.0,9.0,1.2,0.0,0.0,0.0,0.0,1,2,100,3,0,99,"对范围内的敌人造成{0}的魔法伤害","魔法伤害+{0}"
101801204,1,16,2,0,0,300.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2,100,3,0,99,"敌方陷入魅惑状态时，削减敌方单体的技能值{0}","技能值伤害+{0}"
101801205,1,1,2,0,0,9.0,9.0,1.2,0.0,0.0,0.0,0.0,1,2,100,3,0,99,"",""
101801206,1,10,11,1,0,1.0,10.0,10.0,12.0,0.0,0.0,1.0,1,2,100,3,0,99,"敌方不处于魅惑状态时，降低范围内敌人的物理攻击力{0}","物理攻击力下降+{0}"
101801207,1,10,31,1,0,1.0,10.0,10.0,12.0,0.0,0.0,1.0,1,2,100,3,0,99,"敌方不处于魅惑状态时，降低范围内敌人的魔法攻击力{0}","魔法攻击力下降+{0}"
101850101,1,90,4,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的魔法攻击力提升{0}","魔法攻击力上升+{0}"
101851101,1,90,4,0,0,1.0,15.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的魔法攻击力提升{0}","魔法攻击力上升+{0}"
101851102,1,90,5,0,0,1.0,30.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,"自身的魔法防御力提升{0}",""
102000101,1,1,1,0,0,24.0,24.0,1.8,0.0,0.0,0.0,0.0,1,2,2160,3,0,1,"对面前的敌方单体造成{0}的物理伤害","对第一名敌人的物理伤害+{0}"
